trigger_dt,pitch_dt,ticker,sentiment
2026-02-10,2026-01-26,JCTC,bullish
2026-01-26,2026-01-26,ASPI,bullish
2026-02-26,2026-01-26,LAW,bullish
2026-01-28,2026-01-26,FVRR,bullish
2026-02-23,2026-01-26,IDYA,bullish
2026-01-26,2026-01-26,SIDU,bearish
2026-01-26,2026-01-26,DDI,bullish
2026-02-17,2026-01-26,TSCO,bearish
2026-02-02,2026-01-26,GDOT,bullish
2026-01-27,2026-01-27,IDXG,bullish
2026-02-13,2026-01-27,SAP,bullish
2026-02-26,2026-01-27,PTON,bullish
2026-01-30,2026-01-27,DECK,bullish
2026-01-27,2026-01-27,RELL,bullish
2026-02-20,2026-01-27,NHC,bearish
2026-01-27,2026-01-27,NVDA,bullish
2026-02-04,2026-01-27,WLK,bullish
2026-02-20,2026-01-27,TOST,bullish
2026-02-04,2026-01-28,KSS,bullish
2026-01-28,2026-01-28,ARX,bearish
2026-02-10,2026-01-28,KBR,bullish
2026-01-29,2026-01-28,HPE,bullish
2026-01-28,2026-01-28,LRCX,bullish
2026-02-04,2026-01-28,MONRF,bullish
2026-01-29,2026-01-29,ASML,bullish
2026-02-05,2026-01-29,ITB,bullish
2026-02-17,2026-01-29,NOW,bullish
2026-02-25,2026-01-29,GLASF,bullish
2026-01-29,2026-01-29,CPNG,bullish
2026-02-19,2026-01-30,CNC,bullish
2026-01-30,2026-01-30,CAT,bullish
2026-01-30,2026-01-30,LRCX,bullish
2026-03-03,2026-01-30,SYPR,bullish
2026-01-30,2026-01-30,GSK,bullish
2026-02-19,2026-01-31,ONDS,bullish
2026-02-03,2026-01-31,NVRI,bullish
2026-02-11,2026-01-31,POOL,bullish
2026-02-02,2026-01-31,SPCB,bullish
2026-03-20,2026-01-31,MS,bullish
2026-02-06,2026-01-31,ABT,bullish
2026-02-06,2026-01-31,WKC,bullish
2026-02-02,2026-01-31,OXBC,bullish
2026-02-12,2026-01-31,RBRK,bullish
2026-02-02,2026-01-31,NHI,bullish
2026-02-02,2026-02-01,GDOT,bullish
